Date,Open,High,Low,Close,Negativity,Positivity
12/01/2020,86.5,86.5,86.5,86.5,7.2,13.4
12/02/2020,84.7,84.7,84.6,84.7,8.9,13.1
12/03/2020,84.6,84.6,84.6,84.6,11.7,17.6
12/04/2020,83.9,83.9,83.9,83.9,10.7,15.3
12/07/2020,83.4,83.5,83.4,83.4,8.5,8.1
12/08/2020,85.9,85.9,85.9,85.9,10.4,12.0
12/09/2020,86.7,86.8,86.7,86.7,10.7,13.0
12/10/2020,86.5,86.6,86.5,86.5,10.9,12.7
12/11/2020,90.3,90.3,90.3,90.3,11.1,13.6
12/14/2020,90.6,90.7,90.6,90.6,10.4,9.3
12/15/2020,90.6,90.6,90.5,90.6,10.7,13.5
12/16/2020,92.2,92.2,92.2,92.2,12.0,12.5
12/17/2020,89.7,89.7,89.6,89.7,11.8,11.2
12/18/2020,87.0,87.0,87.0,87.0,10.2,15.1
12/21/2020,85.8,85.9,85.8,85.8,11.8,10.9
12/22/2020,88.9,88.9,88.8,88.9,9.7,11.5
12/23/2020,91.6,91.6,91.5,91.6,12.5,14.6
12/24/2020,91.1,91.1,91.1,91.1,8.8,13.7
12/28/2020,91.7,91.8,91.7,91.7,7.5,8.6
12/29/2020,93.8,93.9,93.8,93.8,8.1,8.8
12/30/2020,92.2,92.2,92.2,92.2,7.4,13.8
12/31/2020,92.3,92.3,92.2,92.3,5.4,8.2
01/04/2021,92.8,92.8,92.8,92.8,7.1,7.4
01/05/2021,90.3,90.3,90.2,90.3,8.1,11.6
01/06/2021,89.3,89.4,89.3,89.3,10.9,11.8
01/07/2021,91.9,91.9,91.9,91.9,14.1,13.0
01/08/2021,93.0,93.0,92.9,93.0,14.1,10.6
01/11/2021,91.1,91.2,91.1,91.1,9.1,9.5
01/12/2021,90.6,90.6,90.5,90.6,13.1,14.2
01/13/2021,90.3,90.3,90.2,90.3,14.3,9.6
01/14/2021,88.6,88.6,88.6,88.6,13.4,14.1
01/15/2021,90.2,90.2,90.2,90.2,13.0,14.7
01/19/2021,90.8,90.8,90.8,90.8,12.5,9.6
01/20/2021,90.6,90.6,90.5,90.6,10.5,14.9
01/21/2021,93.1,93.1,93.0,93.1,10.8,12.9
01/22/2021,92.8,92.8,92.8,92.8,13.1,13.2
01/25/2021,95.4,95.4,95.3,95.4,9.2,11.0
01/26/2021,93.9,93.9,93.8,93.9,11.3,16.4
01/27/2021,86.8,86.9,86.7,86.8,5.9,7.6
01/28/2021,86.3,86.3,86.2,86.3,14.2,13.2
01/29/2021,85.3,85.4,85.2,85.3,11.6,13.3
02/01/2021,87.1,87.2,87.1,87.1,8.7,8.3
02/02/2021,88.1,88.2,88.1,88.1,10.5,11.8
02/03/2021,88.5,88.5,88.4,88.5,12.2,13.0
02/04/2021,90.1,90.1,90.0,90.1,15.8,11.5
02/05/2021,89.5,89.6,89.5,89.5,12.3,15.4
02/08/2021,88.0,88.0,88.0,88.0,9.0,13.7
02/09/2021,88.4,88.5,88.4,88.4,12.6,13.7
02/10/2021,87.3,87.4,87.3,87.3,14.0,15.0
02/11/2021,87.4,87.4,87.3,87.4,13.2,16.1
02/12/2021,88.0,88.0,88.0,88.0,12.9,14.2
02/16/2021,89.7,89.7,89.7,89.7,11.1,10.8
02/17/2021,88.8,88.9,88.8,88.8,11.9,11.9
02/18/2021,88.1,88.1,88.1,88.1,16.3,18.1
02/19/2021,89.3,89.3,89.3,89.3,12.9,16.5
02/22/2021,86.9,86.9,86.8,86.9,10.5,9.2
02/23/2021,83.9,83.9,83.8,83.9,17.3,12.1
02/24/2021,84.8,84.8,84.7,84.8,13.4,14.8
02/25/2021,83.5,83.5,83.4,83.5,14.0,14.1
02/26/2021,94.8,94.8,94.7,94.8,14.6,16.6
03/01/2021,95.9,95.9,95.9,95.9,9.5,12.1
03/02/2021,95.0,95.0,94.9,95.0,11.7,12.3
03/03/2021,92.0,92.0,91.9,92.0,9.8,11.3
03/04/2021,92.4,92.5,92.4,92.4,12.2,15.1
03/05/2021,91.0,91.0,90.9,91.0,15.0,15.5
03/08/2021,93.1,93.2,93.1,93.1,9.2,10.2
03/09/2021,94.8,94.8,94.7,94.8,12.1,11.1
03/10/2021,95.4,95.5,95.4,95.4,14.5,14.9
03/11/2021,95.9,95.9,95.8,95.9,14.3,18.0
03/12/2021,94.0,94.1,94.0,94.0,9.7,15.5
03/15/2021,94.9,95.0,94.9,94.9,12.3,13.3
03/16/2021,98.4,98.5,98.4,98.4,11.4,12.8
03/17/2021,95.6,95.6,95.5,95.6,14.0,14.0
03/18/2021,96.6,96.7,96.6,96.6,19.0,13.9
03/19/2021,96.7,96.7,96.6,96.7,13.4,15.0
03/22/2021,96.8,96.8,96.8,96.8,10.6,11.2
03/23/2021,92.3,92.3,92.3,92.3,12.8,12.5
03/24/2021,90.7,90.8,90.7,90.7,13.0,15.0
03/25/2021,91.7,91.7,91.6,91.7,16.5,16.9
03/26/2021,93.7,93.7,93.6,93.7,12.9,11.1
03/29/2021,80.2,80.2,80.1,80.2,7.6,10.3
03/30/2021,82.5,82.6,82.5,82.5,10.3,12.4
03/31/2021,79.3,79.3,79.2,79.3,12.8,14.8
04/01/2021,79.6,79.6,79.6,79.6,12.4,17.4
04/05/2021,78.7,78.7,78.7,78.7,7.3,10.0
04/06/2021,82.0,82.0,82.0,82.0,14.6,15.8
04/07/2021,79.6,79.6,79.5,79.6,12.2,12.4
04/08/2021,78.5,78.5,78.5,78.5,16.2,11.3
04/09/2021,80.6,80.6,80.6,80.6,13.9,15.9
04/12/2021,78.8,78.8,78.8,78.8,10.2,13.5
04/13/2021,78.9,78.9,78.9,78.9,15.6,12.0
04/14/2021,77.1,77.2,77.1,77.1,14.4,15.6
04/15/2021,76.5,76.5,76.5,76.5,15.7,16.4
04/16/2021,77.9,77.9,77.8,77.9,12.9,12.9
04/19/2021,80.4,80.4,80.4,80.4,14.4,12.1
04/20/2021,78.3,78.3,78.3,78.3,14.9,15.9
04/21/2021,80.5,80.6,80.5,80.5,14.9,15.2
04/22/2021,73.4,73.5,73.4,73.4,11.5,14.5
04/23/2021,74.2,74.3,74.2,74.2,12.0,15.4
04/26/2021,74.5,74.5,74.4,74.5,10.1,12.0
04/27/2021,96.2,96.3,96.2,96.2,9.2,12.2
04/28/2021,96.4,96.4,96.4,96.4,9.8,12.3
04/29/2021,97.5,97.6,97.5,97.5,11.4,18.5
04/30/2021,97.9,97.9,97.9,97.9,10.3,11.5
05/03/2021,96.3,96.4,96.3,96.3,7.6,9.4
05/04/2021,94.3,94.3,94.2,94.3,11.5,15.5
05/05/2021,94.2,94.3,94.2,94.2,10.5,13.4
05/06/2021,94.5,94.5,94.5,94.5,12.2,13.3
05/07/2021,94.0,94.0,94.0,94.0,10.9,14.3
05/10/2021,94.2,94.2,94.2,94.2,9.3,11.3
05/11/2021,92.4,92.4,92.4,92.4,11.2,12.2
05/12/2021,92.9,92.9,92.8,92.9,13.3,13.9
05/13/2021,92.9,92.9,92.8,92.9,17.1,14.1
05/14/2021,94.4,94.4,94.4,94.4,10.9,14.6
05/17/2021,95.7,95.7,95.7,95.7,10.4,10.0
05/18/2021,96.1,96.1,96.0,96.1,15.3,13.1
05/19/2021,92.9,93.0,92.9,92.9,12.5,13.5
05/20/2021,93.8,93.8,93.7,93.8,14.8,15.2
05/21/2021,94.7,94.8,94.7,94.7,14.5,16.5
05/24/2021,96.1,96.2,96.1,96.1,12.3,9.8
05/25/2021,95.0,95.0,94.9,95.0,10.5,12.1
05/26/2021,95.4,95.4,95.4,95.4,11.4,11.9
05/27/2021,96.1,96.1,96.1,96.1,11.1,15.6
05/28/2021,94.7,94.8,94.7,94.7,10.9,16.5
06/01/2021,100.7,100.8,100.7,100.7,10.1,11.5
06/02/2021,102.0,102.0,102.0,102.0,9.5,12.6
06/03/2021,98.8,98.9,98.8,98.8,10.4,11.6
06/04/2021,99.1,99.2,99.1,99.2,12.1,14.8
06/07/2021,100.5,100.6,100.5,100.5,8.5,10.1
